collection,link
"Mural Fragment Representing a Ritual of World Renewal, A.D. 500/600, Teotihuacan",https://www.artic.edu/artworks/14968/mural-fragment-representing-a-ritual-of-world-renewal
"Movements, 1913, Marsden Hartley",https://www.artic.edu/artworks/65916/movements
"Mrs. Daniel Hubbard (Mary Greene), c. 1764, John Singleton Copley",https://www.artic.edu/artworks/59787/mrs-daniel-hubbard-mary-greene
"Cauldron, Western Zhou dynasty (1046–771 BC ), early 9th century BC",https://www.artic.edu/artworks/185963/cauldron
"The Annunciation, c. 1583, Alessandro Vittoria",https://www.artic.edu/artworks/44741/the-annunciation
"TAKEN FROM HERE TO WHERE IT CAME FROM AND TAKEN TO A PLACE AND USED IN SUCH A MANNER THAT IT CAN ONLY REMAIN AS A REPRESENTATION OF WHAT IT WAS WHERE IT CAME FROM, 1980, Lawrence Weiner",https://www.artic.edu/artworks/107069/taken-from-here-to-where-it-came-from-and-taken-to-a-place-and-used-in-such-a-manner-that-it-can-only-remain-as-a-representation-of-what-it-was-where-it-came-from
"Ceres, 1928, John Bradley Storrs",https://www.artic.edu/artworks/63178/ceres
"Night Sky #2, 1991, Vija Celmins",https://www.artic.edu/artworks/140645/night-sky-2
"View of Delphi with a Procession, 1673, Claude Lorrain",https://www.artic.edu/artworks/43145/view-of-delphi-with-a-procession
"Two Ladies at the Automat (New York City), 1966, printed 1977, Diane Arbus",https://www.artic.edu/artworks/63234/two-ladies-at-the-automat-new-york-city
